Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
139	Spectrogram 1	1	745.383979236	747.434707187	0.0	YKD	A	s	s	y		
141	Waveform 1	1	747.168032883	749.521079452	0.0	YKD	A	r				
141	Spectrogram 1	1	747.168032883	749.521079452	0.0	YKD	A	r				
140	Waveform 1	1	753.778359964	755.113600522	0.0	YKD	A	c				playback then the bird
140	Spectrogram 1	1	753.778359964	755.113600522	0.0	YKD	A	c				playback then the bird
143	Waveform 1	1	757.814686844	760.354163226	0.0	YKD	A	s	s			
143	Spectrogram 1	1	757.814686844	760.354163226	0.0	YKD	A	s	s			
142	Waveform 1	1	761.961490694	762.440161838	0.0	YKD	A	c				playback
142	Spectrogram 1	1	761.961490694	762.440161838	0.0	YKD	A	c				playback
144	Waveform 1	1	770.764001701	773.182550637	0.0	YKD	A	s	s			
144	Spectrogram 1	1	770.764001701	773.182550637	0.0	YKD	A	s	s			
145	Waveform 1	1	776.382089643	780.760670944	0.0	YKD	A	c				the bird ........
145	Spectrogram 1	1	776.382089643	780.760670944	0.0	YKD	A	c				the bird ........
146	Waveform 1	1	782.942403940	783.940055376	0.0	YKD	A	c				...match?
146	Spectrogram 1	1	782.942403940	783.940055376	0.0	YKD	A	c				...match?
147	Waveform 1	1	783.713316568	785.743889945	0.0	YKD	A	s	s			
147	Spectrogram 1	1	783.713316568	785.743889945	0.0	YKD	A	s	s			
150	Waveform 1	1	795.826216440	797.786248806	0.0	YKD	A	s	c			
150	Spectrogram 1	1	795.826216440	797.786248806	0.0	YKD	A	s	c			
148	Waveform 1	1	798.259881461	799.479233216	0.0	YKD	A	C				the bird...
148	Spectrogram 1	1	798.259881461	799.479233216	0.0	YKD	A	C				the bird...
149	Waveform 1	1	800.935401376	803.459761827	0.0	YKD	A	c				
149	Spectrogram 1	1	800.935401376	803.459761827	0.0	YKD	A	c				
152	Waveform 1	1	807.708341892	809.728837982	0.0	YKD	A	s	c			
152	Spectrogram 1	1	807.708341892	809.728837982	0.0	YKD	A	s	c			
151	Waveform 1	1	811.042920933	811.516553433	0.0	YKD	A	c				??
151	Spectrogram 1	1	811.042920933	811.516553433	0.0	YKD	A	c				??
153	Waveform 1	1	819.881705642	822.103747476	0.0	YKD	A	s	c			
153	Spectrogram 1	1	819.881705642	822.103747476	0.0	YKD	A	s	c			
154	Waveform 1	1	826.714106850	829.586133710	0.0	YKD	A	c				
154	Spectrogram 1	1	826.714106850	829.586133710	0.0	YKD	A	c				
155	Waveform 1	1	832.196151413	834.413154604	0.0	YKD	A	s	c			
155	Spectrogram 1	1	832.196151413	834.413154604	0.0	YKD	A	s	c			
156	Waveform 1	1	835.703046906	836.116215682	0.0	YKD	A	c				playback
156	Spectrogram 1	1	835.703046906	836.116215682	0.0	YKD	A	c				playback
157	Waveform 1	1	843.945933226	846.031931683	0.0	YKD	A	s	c			
157	Spectrogram 1	1	843.945933226	846.031931683	0.0	YKD	A	s	c			
158	Waveform 1	1	850.858952577	852.829062230	0.0	YKD	A	c				
158	Spectrogram 1	1	850.858952577	852.829062230	0.0	YKD	A	c				
159	Waveform 1	1	855.771629793	857.681275723	0.0	YKD	A	s	c			
159	Spectrogram 1	1	855.771629793	857.681275723	0.0	YKD	A	s	c			
160	Waveform 1	1	857.368879974	859.107212021	0.0	YKD	A	c				
160	Spectrogram 1	1	857.368879974	859.107212021	0.0	YKD	A	c				
161	Waveform 1	1	860.946317096	862.205978000	0.0	YKD	A	c				
161	Spectrogram 1	1	860.946317096	862.205978000	0.0	YKD	A	c				
162	Waveform 1	1	865.501251390	867.748486442	0.0	YKD	A	c				
162	Spectrogram 1	1	865.501251390	867.748486442	0.0	YKD	A	c				
163	Waveform 1	1	867.798872908	870.056185248	0.0	YKD	A	s	c			
163	Spectrogram 1	1	867.798872908	870.056185248	0.0	YKD	A	s	c			
164	Waveform 1	1	880.259439344	882.577215407	0.0	YKD	A	s	c			
164	Spectrogram 1	1	880.259439344	882.577215407	0.0	YKD	A	s	c			
165	Waveform 1	1	886.492241200	889.449925002	0.0	YKD	A	c				
165	Spectrogram 1	1	886.492241200	889.449925002	0.0	YKD	A	c				
166	Waveform 1	1	889.681702763	891.540962257	0.0	YKD	A	c				
166	Spectrogram 1	1	889.681702763	891.540962257	0.0	YKD	A	c				
